0, 1.95934e+06
1, 1.97449e+06
2, 2.02179e+06
3, 2.10769e+06
4, 2.24538e+06
5, 2.46023e+06
6, 2.80395e+06
7, 3.39402e+06
8, 4.56104e+06
9, 7.7074e+06
10, 3.76125e+07
11, 1.14065e+07
12, 4.81702e+06
13, 3.07613e+06
14, 2.32036e+06
15, 1.93155e+06
16, 1.72e+06
17, 1.60807e+06
18, 1.55879e+06
19, 1.55327e+06
20, 1.58231e+06
21, 1.6423e+06
22, 1.73436e+06
23, 1.86414e+06
24, 2.04327e+06
25, 2.29378e+06
26, 2.65766e+06
27, 3.22342e+06
28, 4.21059e+06
29, 6.35093e+06
30, 1.44384e+07
31, 3.53792e+07
32, 7.31672e+06
33, 3.87559e+06
34, 2.53109e+06
35, 1.813e+06
36, 1.36486e+06
37, 1.05737e+06
38, 832315
39, 659431
40, 521653
41, 408423
42, 312973
43, 230634
44, 158276
45, 93337.6
46, 34616.2
47, 22854.2
48, 73794.7
49, 123388
50, 171742
51, 219537
52, 267480
53, 316357
54, 366756
55, 419652
56, 475929
57, 536751
58, 603419
59, 677817
60, 762160
61, 859633
62, 974577
63, 1.11338e+06
64, 1.28563e+06
65, 1.5066e+06
66, 1.8024e+06
67, 2.22128e+06
68, 2.86395e+06
69, 3.9812e+06
70, 6.42054e+06
71, 1.60032e+07
72, 3.45562e+07
73, 8.41701e+06
74, 4.82262e+06
75, 3.39225e+06
76, 2.62279e+06
77, 2.14142e+06
78, 1.81159e+06
79, 1.57114e+06
80, 1.38787e+06
81, 1.24345e+06
82, 1.12663e+06
83, 1.03014e+06
84, 948983
85, 879781
86, 820019
87, 767906
88, 721970
89, 681267
90, 644799
91, 612038
92, 582383
93, 555452
94, 530871
95, 508279
96, 487510
97, 468354
98, 450555
99, 434059
100, 418655
101, 404273
102, 390832
103, 378202
104, 366321
105, 355163
106, 344649
107, 334670
108, 325257
109, 316300
110, 307821
111, 299732
112, 292047
113, 284778
114, 277734
115, 271104
116, 264722
117, 258619
118, 252802
119, 247187
120, 241848
121, 236704
122, 231692
123, 226979
124, 222354
125, 217962
126, 213672
127, 209590
128, 205674
129, 201843
130, 198139
